"filia";"for_what";"limit";"fact";"deviation";"date"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2022-01-11"
"ФК \МТМ\ Хортицького району";"виробництво тепла";9172;9363;2.0824247710423;"2022-01-11"
"ФК \МТМ\ Хортицького району";"транспортування тепла";29974;30963;3.2995262560886;"2022-01-11"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2022-01-11"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";7168;7293.00000000007;1.74386160714377;"2022-01-11"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";21826;21892;0.302391642994593;"2022-01-11"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2022-01-11"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";8663;8760.8;1.12893916657051;"2022-01-12"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";43532.7455583652;43597;0.147600250824187;"2022-01-12"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2022-01-12"
"ФК \МТМ\ Заводського району";"виробництво тепла";6254;6416.49;2.59817716661339;"2022-01-12"
"ФК \МТМ\ Заводського району";"транспортування тепла";10123;10190;0.661859132668186;"2022-01-12"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2022-01-12"
"ФК \МТМ\ Комунарського району";"виробництво тепла";13474;13939.6;3.45554401068726;"2022-01-12"
"ФК \МТМ\ Комунарського району";"транспортування тепла";15672;16145;3.0181214905564;"2022-01-12"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2022-01-12"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";11178;11600.2;3.7770620862408;"2022-01-12"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";39076;40190;2.85085474460027;"2022-01-12"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2022-01-12"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";17968;18663.81;3.87249554764024;"2022-01-12"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";65132;66456;2.03279493950745;"2022-01-12"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2022-01-12"
"ФК \МТМ\ Хортицького району";"виробництво тепла";9972;10243;2.71760930605696;"2022-01-12"
"ФК \МТМ\ Хортицького району";"транспортування тепла";29974;30963;3.2995262560886;"2022-01-12"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2022-01-12"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";7146;7370.99999999975;3.14861460956823;"2022-01-12"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";21826;21892;0.302391642994593;"2022-01-12"
"ФК \МТМ\ Шевченківського район";"загальновиробничі";265;265;0;"2022-01-12"
"ФК \МТМ\ Олександрівського району";"виробництво тепла";9610;9676;0.686784599375656;"2021-11-29"
"ФК \МТМ\ Олександрівського району";"транспортування тепла";43532.7455583652;43597;0.147600250824187;"2021-11-29"
"ФК \МТМ\ Олександрівського району";"загальновиробничі";208;208;0;"2021-11-29"
"ФК \МТМ\ Заводського району";"виробництво тепла";3910;4002.4;2.36317135549871;"2021-11-29"
"ФК \МТМ\ Заводського району";"транспортування тепла";10123;10190;0.661859132668186;"2021-11-29"
"ФК \МТМ\ Заводського району";"загальновиробничі";522;522;0;"2021-11-29"
"ФК \МТМ\ Комунарського району";"виробництво тепла";5765;5938.8;3.01474414570684;"2021-11-29"
"ФК \МТМ\ Комунарського району";"транспортування тепла";15672;16145;3.0181214905564;"2021-11-29"
"ФК \МТМ\ Комунарського району";"загальновиробничі";552;522;-5.43478260869565;"2021-11-29"
"ФК \МТМ\ Дніпровського району";"виробництво тепла";5767;5933.60000000002;2.88885035547113;"2021-11-29"
"ФК \МТМ\ Дніпровського району";"транспортування тепла";39076;40190;2.85085474460027;"2021-11-29"
"ФК \МТМ\ Дніпровського району";"загальновиробничі";260;260;0;"2021-11-29"
"ФК \МТМ\ Вознесенівського району";"виробництво тепла";11252;11311.6;0.52968361180239;"2021-11-29"
"ФК \МТМ\ Вознесенівського району";"транспортування тепла";65132;66456;2.03279493950745;"2021-11-29"
"ФК \МТМ\ Вознесенівського району";"загальновиробничі";358;358;0;"2021-11-29"
"ФК \МТМ\ Хортицького району";"виробництво тепла";7884;8171.00000000029;3.64028411973987;"2021-11-29"
"ФК \МТМ\ Хортицького району";"транспортування тепла";29974;30963;3.2995262560886;"2021-11-29"
"ФК \МТМ\ Хортицького району";"загальновиробничі";456;456;0;"2021-11-29"
"ФК \МТМ\ Шевченківського район";"виробництво тепла";4508;4675.1999999997;3.70896184560121;"2021-11-29"
"ФК \МТМ\ Шевченківського район";"транспортування тепла";21826;21892;0.302391642994593;"2021-11-29"
